scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
blocked,slip,48,1,0.3,0,0.7979158579984937,0.5763667238546006,success,1,45.9,13.21,0.122,4.0,232.212,335.356,488.404,4,16,0.5522875816993464,18,100.15588866062099,1.0,0.3164,0.9738
blocked,slip,48,1,0.3,1,0.9515636320895116,0.6281475858821477,success,1,30.55,10.47,0.122,1.55,241.513,406.893,586.341,8,8,0.42716857610474634,14,80.51100824350357,1.0000000000012856,0.3648,0.9626
blocked,slip,48,1,0.3,2,0.6080983910194117,0.458652779995063,success,1,40.9,12.07,0.118,2.45,397.473,480.181,574.791,6,14,0.4682151589242054,16,89.39553304867651,1.0000000000000235,0.3587,1.0678
blocked,slip,48,1,0.3,3,0.9863797026113605,0.610779835333096,success,1,30.05,10.56,0.126,1.15,406.742,499.757,568.835,14,8,0.4459234608985025,15,73.05876501453577,1.0,0.3863,0.942
blocked,slip,48,1,0.3,4,0.6025731034698985,0.7021649092955253,success,1,48.3,12.78,0.065,6.35,231.855,344.491,485.696,12,14,0.43995859213250516,16,76.23526717441872,1.0,0.4836,1.3131
blocked,slip,48,1,0.3,5,0.9790236559937312,0.4193524057055864,success,1,30.7,10.62,0.119,1.05,236.362,371.669,494.716,11,12,0.496742671009772,15,71.15290092916764,1.0,0.4085,1.0668
blocked,slip,48,1,0.3,6,0.5830893025900723,0.5461939075262222,timeout,0,60.0,11.8,0.114,15.1,279.473,449.133,568.272,5,17,0.6541666666666667,19,101.0421452917348,1.0,0.3858,1.2899
blocked,slip,48,1,0.3,7,0.8426192011004235,0.440843611272432,success,1,43.2,12.94,0.123,2.75,229.166,363.041,535.561,13,12,0.48148148148148145,20,94.1675991449556,1.0,0.313,0.9686
blocked,slip,49,0,0.3,0,0.6663959718031328,0.4808882734725563,success,1,33.95,9.7,0.117,5.55,248.274,350.902,529.2,10,10,0.4727540500736377,20,95.73606262240209,1.0000000000000058,0.1919,0.8466
blocked,slip,49,0,0.3,1,0.7430900759827268,0.4945949127788845,collision,0,19.6,3.73,-0.011,10.0,379.085,511.05,562.069,12,3,0.30357142857142855,12,61.584685549687464,1.0,0.0227,0.0435
