n,seed,condition,motion,result,success,min_clear_m,time_s,path_len_m,controller_mean_ms,blob_active_cycles,blob_cycles,blob_routes,blob_infeasible,blob_mean_ms,modes_added
30,11,base,waypoint,success,1,0.114,35.7,12.42,426.035,0,0,0,0,0.0,0
30,11,modes,waypoint,success,1,0.137,35.65,13.01,477.525,0,0,0,0,0.0,202
30,11,blob_extras,waypoint,success,1,0.131,36.35,12.69,440.197,211,727,402,146,25.727,0
30,11,blob_pods,waypoint,success,1,0.104,35.55,13.33,432.32,191,711,543,211,24.681,0
30,12,base,waypoint,success,1,0.115,40.8,16.28,404.22,0,0,0,0,0.0,0
30,12,modes,waypoint,success,1,0.115,35.5,15.14,401.187,0,0,0,0,0.0,274
30,12,blob_extras,waypoint,success,1,0.114,39.25,16.23,407.115,217,785,430,199,23.452,0
30,12,blob_pods,waypoint,success,1,0.088,39.15,16.38,468.793,209,783,587,319,30.777,0
30,13,base,waypoint,collision,0,-0.008,17.85,5.32,386.329,0,0,0,0,0.0,0
30,13,modes,waypoint,success,1,0.102,37.95,13.63,408.49,0,0,0,0,0.0,215
30,13,blob_extras,waypoint,success,1,0.102,38.2,13.72,448.563,309,764,598,248,23.221,0
30,13,blob_pods,waypoint,success,1,0.139,38.5,14.11,410.631,291,770,846,327,21.315,0
30,14,base,waypoint,collision,0,-0.007,36.0,8.39,420.391,0,0,0,0,0.0,0
30,14,modes,waypoint,timeout,0,0.021,60.0,15.11,503.796,0,0,0,0,0.0,358
30,14,blob_extras,waypoint,success,1,0.007,53.2,16.6,444.376,518,1064,986,387,22.014,0
30,14,blob_pods,waypoint,collision,0,-0.002,37.15,9.03,464.392,503,743,1380,505,21.468,0
30,15,base,waypoint,success,1,0.143,36.4,12.9,435.987,0,0,0,0,0.0,0
30,15,modes,waypoint,success,1,0.132,36.6,12.99,465.145,0,0,0,0,0.0,214
30,15,blob_extras,waypoint,success,1,0.156,37.15,12.76,419.65,124,743,248,51,26.026,0
30,15,blob_pods,waypoint,success,1,0.118,36.35,12.84,469.908,122,727,352,86,29.234,0
30,16,base,waypoint,collision,0,-0.003,17.8,6.31,395.326,0,0,0,0,0.0,0
